algo,metric,value
ecdsa-P-384,verify-wall-ci95lo-ns,3304956.5
ecdsa-P-384,verify-wall-ci95hi-ns,3307779.6
ecdsa-P-384,verify-cyc-median,178500.0
ecdsa-P-384,verify-cyc-mean,178535.1
ecdsa-P-384,verify-persec,302.5
ecdsa-P-384,size-key-bits,384
ecdsa-P-384,size-pubkey-bytes,97
ecdsa-P-384,size-signature-max-bytes,104
ecdsa-P-521,keygen-iters,1000
ecdsa-P-521,keygen-wall-median-ns,10397630.0
ecdsa-P-521,keygen-wall-mean-ns,10400574.2
ecdsa-P-521,keygen-wall-std-ns,14620.4
ecdsa-P-521,keygen-wall-p95-ns,10419537.0
ecdsa-P-521,keygen-wall-p99-ns,10479370.0
ecdsa-P-521,keygen-wall-ci95lo-ns,10399668.0
ecdsa-P-521,keygen-wall-ci95hi-ns,10401480.4
ecdsa-P-521,keygen-cyc-median,561465.0
ecdsa-P-521,keygen-cyc-mean,561623.9
ecdsa-P-521,keygen-persec,96.2
ecdsa-P-521,sign-iters,1000
ecdsa-P-521,sign-wall-median-ns,11001519.0
ecdsa-P-521,sign-wall-mean-ns,11004952.2
ecdsa-P-521,sign-wall-std-ns,33693.4
ecdsa-P-521,sign-wall-p95-ns,11015871.0
ecdsa-P-521,sign-wall-p99-ns,11101074.0
ecdsa-P-521,sign-wall-ci95lo-ns,11002863.9
ecdsa-P-521,sign-wall-ci95hi-ns,11007040.6
ecdsa-P-521,sign-cyc-median,594074.0
ecdsa-P-521,sign-cyc-mean,594258.7
ecdsa-P-521,sign-persec,90.9
ecdsa-P-521,verify-iters,1000
ecdsa-P-521,verify-wall-median-ns,8327074.0
ecdsa-P-521,verify-wall-mean-ns,8331923.3
ecdsa-P-521,verify-wall-std-ns,26273.3
ecdsa-P-521,verify-wall-p95-ns,8351500.0
ecdsa-P-521,verify-wall-p99-ns,8416408.0
ecdsa-P-521,verify-wall-ci95lo-ns,8330294.9
ecdsa-P-521,verify-wall-ci95hi-ns,8333551.7
ecdsa-P-521,verify-cyc-median,449652.0
ecdsa-P-521,verify-cyc-mean,449913.9
ecdsa-P-521,verify-persec,120.1
ecdsa-P-521,size-key-bits,521
ecdsa-P-521,size-pubkey-bytes,133
ecdsa-P-521,size-signature-max-bytes,139
ecdh-P-256,keygen-iters,1000
ecdh-P-256,keygen-wall-median-ns,92278.0
ecdh-P-256,keygen-wall-mean-ns,92770.3
ecdh-P-256,keygen-wall-std-ns,4181.2
ecdh-P-256,keygen-wall-p95-ns,93185.0
ecdh-P-256,keygen-wall-p99-ns,106166.0
ecdh-P-256,keygen-wall-ci95lo-ns,92511.2
ecdh-P-256,keygen-wall-ci95hi-ns,93029.5
ecdh-P-256,keygen-cyc-median,4977.0
ecdh-P-256,keygen-cyc-mean,5003.9
ecdh-P-256,keygen-persec,10836.8
ecdh-P-256,derive-iters,1000
ecdh-P-256,derive-wall-median-ns,262278.0
ecdh-P-256,derive-wall-mean-ns,262942.8
ecdh-P-256,derive-wall-std-ns,2564.3
ecdh-P-256,derive-wall-p95-ns,270407.0
ecdh-P-256,derive-wall-p99-ns,272574.0
ecdh-P-256,derive-wall-ci95lo-ns,262783.9
ecdh-P-256,derive-wall-ci95hi-ns,263101.8
ecdh-P-256,derive-cyc-median,14159.0
ecdh-P-256,derive-cyc-mean,14194.4
ecdh-P-256,derive-persec,3812.7
ecdh-P-256,size-key-bits,256
ecdh-P-256,size-pubkey-bytes,65
ecdh-P-384,keygen-iters,1000
ecdh-P-384,keygen-wall-median-ns,4011056.0
ecdh-P-384,keygen-wall-mean-ns,4027879.5
ecdh-P-384,keygen-wall-std-ns,82263.7
ecdh-P-384,keygen-wall-p95-ns,4056889.0
ecdh-P-384,keygen-wall-p99-ns,4491297.0
ecdh-P-384,keygen-wall-ci95lo-ns,4022780.8
ecdh-P-384,keygen-wall-ci95hi-ns,4032978.3
ecdh-P-384,keygen-cyc-median,216590.0
ecdh-P-384,keygen-cyc-mean,217498.9
ecdh-P-384,keygen-persec,249.3
ecdh-P-384,derive-iters,1000
ecdh-P-384,derive-wall-median-ns,3955167.0
ecdh-P-384,derive-wall-mean-ns,3974261.0
ecdh-P-384,derive-wall-std-ns,81355.0
ecdh-P-384,derive-wall-p95-ns,4027833.0
ecdh-P-384,derive-wall-p99-ns,4407908.0
ecdh-P-384,derive-wall-ci95lo-ns,3969218.6
ecdh-P-384,derive-wall-ci95hi-ns,3979303.4
ecdh-P-384,derive-cyc-median,213570.0
ecdh-P-384,derive-cyc-mean,214602.6
ecdh-P-384,derive-persec,252.8
ecdh-P-384,size-key-bits,384
ecdh-P-384,size-pubkey-bytes,97
ecdh-P-521,keygen-iters,1000
ecdh-P-521,keygen-wall-median-ns,10415278.0
ecdh-P-521,keygen-wall-mean-ns,10419140.2
ecdh-P-521,keygen-wall-std-ns,24538.4
ecdh-P-521,keygen-wall-p95-ns,10452760.0
ecdh-P-521,keygen-wall-p99-ns,10514815.0
ecdh-P-521,keygen-wall-ci95lo-ns,10417619.3
ecdh-P-521,keygen-wall-ci95hi-ns,10420661.1
ecdh-P-521,keygen-cyc-median,562418.0
ecdh-P-521,keygen-cyc-mean,562626.3
ecdh-P-521,keygen-persec,96.0
ecdh-P-521,derive-iters,1000
ecdh-P-521,derive-wall-median-ns,10320685.0
ecdh-P-521,derive-wall-mean-ns,10335418.3
ecdh-P-521,derive-wall-std-ns,82968.9
ecdh-P-521,derive-wall-p95-ns,10370481.0
ecdh-P-521,derive-wall-p99-ns,10727611.0
ecdh-P-521,derive-wall-ci95lo-ns,10330275.9
ecdh-P-521,derive-wall-ci95hi-ns,10340560.8
ecdh-P-521,derive-cyc-median,557309.0
ecdh-P-521,derive-cyc-mean,558104.3
ecdh-P-521,derive-persec,96.9
ecdh-P-521,size-key-bits,521
ecdh-P-521,size-pubkey-bytes,133
ML-KEM-512,keygen-iters,1000
ML-KEM-512,keygen-wall-median-ns,104407.0
ML-KEM-512,keygen-wall-mean-ns,104961.3
ML-KEM-512,keygen-wall-std-ns,3549.7
ML-KEM-512,keygen-wall-p95-ns,106149.0
ML-KEM-512,keygen-wall-p99-ns,117871.0
ML-KEM-512,keygen-wall-ci95lo-ns,104741.3
ML-KEM-512,keygen-wall-ci95hi-ns,105181.3
ML-KEM-512,keygen-cyc-median,5631.0
ML-KEM-512,keygen-cyc-mean,5661.1
ML-KEM-512,keygen-persec,9577.9
ML-KEM-512,encap-iters,1000
ML-KEM-512,encap-wall-median-ns,64334.0
ML-KEM-512,encap-wall-mean-ns,64538.9
ML-KEM-512,encap-wall-std-ns,1297.9
ML-KEM-512,encap-wall-p95-ns,64574.0
ML-KEM-512,encap-wall-p99-ns,73870.0
ML-KEM-512,encap-wall-ci95lo-ns,64458.5
ML-KEM-512,encap-wall-ci95hi-ns,64619.4
ML-KEM-512,encap-cyc-median,3470.0
ML-KEM-512,encap-cyc-mean,3480.8
ML-KEM-512,encap-persec,15543.9
ML-KEM-512,decap-iters,1000
ML-KEM-512,decap-wall-median-ns,92537.0
ML-KEM-512,decap-wall-mean-ns,92816.1
ML-KEM-512,decap-wall-std-ns,1512.8
ML-KEM-512,decap-wall-p95-ns,92815.0
ML-KEM-512,decap-wall-p99-ns,102055.0
ML-KEM-512,decap-wall-ci95lo-ns,92722.3
ML-KEM-512,decap-wall-ci95hi-ns,92909.9
ML-KEM-512,decap-cyc-median,4993.0
ML-KEM-512,decap-cyc-mean,5008.6
ML-KEM-512,decap-persec,10806.5
ML-KEM-512,size-key-bits,512
ML-KEM-512,size-pubkey-bytes,800
ML-KEM-512,size-privkey-bytes,1632
ML-KEM-512,size-ciphertext-bytes,768
ML-KEM-512,size-shared-secret-bytes,32
ML-KEM-768,keygen-iters,1000
ML-KEM-768,keygen-wall-median-ns,153556.0
ML-KEM-768,keygen-wall-mean-ns,154187.4
ML-KEM-768,keygen-wall-std-ns,3512.3
ML-KEM-768,keygen-wall-p95-ns,156056.0
ML-KEM-768,keygen-wall-p99-ns,165870.0
ML-KEM-768,keygen-wall-ci95lo-ns,153969.7
ML-KEM-768,keygen-wall-ci95hi-ns,154405.1
ML-KEM-768,keygen-cyc-median,8285.0
ML-KEM-768,keygen-cyc-mean,8319.2
ML-KEM-768,keygen-persec,6512.3
ML-KEM-768,encap-iters,1000
ML-KEM-768,encap-wall-median-ns,84629.0
ML-KEM-768,encap-wall-mean-ns,84997.8
ML-KEM-768,encap-wall-std-ns,2728.1
ML-KEM-768,encap-wall-p95-ns,85111.0
ML-KEM-768,encap-wall-p99-ns,94444.0
ML-KEM-768,encap-wall-ci95lo-ns,84828.7
ML-KEM-768,encap-wall-ci95hi-ns,85166.9
ML-KEM-768,encap-cyc-median,4567.0
ML-KEM-768,encap-cyc-mean,4586.9
ML-KEM-768,encap-persec,11816.3
ML-KEM-768,decap-iters,1000
ML-KEM-768,decap-wall-median-ns,126944.0
ML-KEM-768,decap-wall-mean-ns,127292.8
ML-KEM-768,decap-wall-std-ns,2319.7
ML-KEM-768,decap-wall-p95-ns,127240.0
ML-KEM-768,decap-wall-p99-ns,136704.0
ML-KEM-768,decap-wall-ci95lo-ns,127149.0
ML-KEM-768,decap-wall-ci95hi-ns,127436.6
ML-KEM-768,decap-cyc-median,6852.0
ML-KEM-768,decap-cyc-mean,6871.0
ML-KEM-768,decap-persec,7877.5
ML-KEM-768,size-key-bits,768
ML-KEM-768,size-pubkey-bytes,1184
ML-KEM-768,size-privkey-bytes,2400
ML-KEM-768,size-ciphertext-bytes,1088
ML-KEM-768,size-shared-secret-bytes,32
ML-KEM-1024,keygen-iters,1000
ML-KEM-1024,keygen-wall-median-ns,220296.0
ML-KEM-1024,keygen-wall-mean-ns,221354.1
ML-KEM-1024,keygen-wall-std-ns,6553.3
ML-KEM-1024,keygen-wall-p95-ns,229889.0
ML-KEM-1024,keygen-wall-p99-ns,236741.0
ML-KEM-1024,keygen-wall-ci95lo-ns,220947.9
ML-KEM-1024,keygen-wall-ci95hi-ns,221760.3
ML-KEM-1024,keygen-cyc-median,11890.0
ML-KEM-1024,keygen-cyc-mean,11947.2
ML-KEM-1024,keygen-persec,4539.3
ML-KEM-1024,encap-iters,1000
ML-KEM-1024,encap-wall-median-ns,109167.0
ML-KEM-1024,encap-wall-mean-ns,109583.3
ML-KEM-1024,encap-wall-std-ns,3000.5
ML-KEM-1024,encap-wall-p95-ns,110148.0
ML-KEM-1024,encap-wall-p99-ns,118926.0
ML-KEM-1024,encap-wall-ci95lo-ns,109397.3
ML-KEM-1024,encap-wall-ci95hi-ns,109769.3
ML-KEM-1024,encap-cyc-median,5892.0
ML-KEM-1024,encap-cyc-mean,5913.9
ML-KEM-1024,encap-persec,9160.3
ML-KEM-1024,decap-iters,1000
ML-KEM-1024,decap-wall-median-ns,165352.0
ML-KEM-1024,decap-wall-mean-ns,165780.7
ML-KEM-1024,decap-wall-std-ns,1911.0
ML-KEM-1024,decap-wall-p95-ns,166389.0
ML-KEM-1024,decap-wall-p99-ns,175056.0
ML-KEM-1024,decap-wall-ci95lo-ns,165662.3
ML-KEM-1024,decap-wall-ci95hi-ns,165899.2
ML-KEM-1024,decap-cyc-median,8926.0
ML-KEM-1024,decap-cyc-mean,8948.6
ML-KEM-1024,decap-persec,6047.7
ML-KEM-1024,size-key-bits,1024
ML-KEM-1024,size-pubkey-bytes,1568
ML-KEM-1024,size-privkey-bytes,3168
ML-KEM-1024,size-ciphertext-bytes,1568
ML-KEM-1024,size-shared-secret-bytes,32
ML-DSA-44,keygen-iters,1000
ML-DSA-44,keygen-wall-median-ns,460074.0
ML-DSA-44,keygen-wall-mean-ns,461225.1
ML-DSA-44,keygen-wall-std-ns,5456.8
ML-DSA-44,keygen-wall-p95-ns,471167.0
ML-DSA-44,keygen-wall-p99-ns,478315.0
ML-DSA-44,keygen-wall-ci95lo-ns,460886.8
ML-DSA-44,keygen-wall-ci95hi-ns,461563.3
ML-DSA-44,keygen-cyc-median,24838.0
ML-DSA-44,keygen-cyc-mean,24900.1
ML-DSA-44,keygen-persec,2173.6
ML-DSA-44,sign-iters,1000
ML-DSA-44,sign-wall-median-ns,2013203.0
ML-DSA-44,sign-wall-mean-ns,2601169.3
ML-DSA-44,sign-wall-std-ns,1906637.6
ML-DSA-44,sign-wall-p95-ns,5880426.0
ML-DSA-44,sign-wall-p99-ns,9732408.0
