algo,metric,n,median,mean,min,max,cv_pct
ML-KEM-1024,decap-wall-std-ns,5,279.8,336.98,254.6,489.1,29.72
ML-KEM-1024,encap-cyc-mean,5,52298.2,53133.26,52219.4,56457.2,3.50
ML-KEM-1024,encap-cyc-median,5,52142,52131.2,52004,52192,0.15
ML-KEM-1024,encap-iters,5,1000,1000,1000,1000,0.00
ML-KEM-1024,encap-persec,5,51496,51500.86,51432.4,51631.6,0.16
ML-KEM-1024,encap-wall-ci95hi-ns,5,19499.8,20313.2,19461.6,23574.9,8.98
ML-KEM-1024,encap-wall-ci95lo-ns,5,19452.7,19265.72,18477.2,19500.8,2.29
ML-KEM-1024,encap-wall-mean-ns,5,19482.1,19789.46,19447.5,21026.1,3.50
ML-KEM-1024,encap-wall-median-ns,5,19419,19417.2,19368,19443,0.16
ML-KEM-1024,encap-wall-p95-ns,5,19700,19920.2,19666,20315,1.61
ML-KEM-1024,encap-wall-p99-ns,5,20963,20962.2,20662,21376,1.28
ML-KEM-1024,encap-wall-std-ns,5,284.5,8449.88,227.2,41123.4,216.16
ML-KEM-1024,keygen-cyc-mean,5,110283.4,113033.1,107914.5,125214.5,6.15
ML-KEM-1024,keygen-cyc-median,5,107396,107399.2,107224,107638,0.14
ML-KEM-1024,keygen-iters,5,1000,1000,1000,1000,0.00
ML-KEM-1024,keygen-persec,5,25015,25014.28,24958.8,25053.2,0.14
ML-KEM-1024,keygen-wall-ci95hi-ns,5,41410.8,42550.02,40239.5,47510.8,6.73
ML-KEM-1024,keygen-wall-ci95lo-ns,5,40691.9,41607.08,40100.2,45726.5,5.59
ML-KEM-1024,keygen-wall-mean-ns,5,41051.4,42078.56,40169.8,46618.7,6.15
ML-KEM-1024,keygen-wall-median-ns,5,39976,39977.2,39915,40066,0.14
ML-KEM-1024,keygen-wall-p95-ns,5,42215,48324.6,41806,72773,28.29
ML-KEM-1024,keygen-wall-p99-ns,5,72940,67553,42910,76341,20.52
ML-KEM-1024,keygen-wall-std-ns,5,6674.9,7606.78,1123.8,14394.3,65.12
ML-KEM-1024,size-ciphertext-bytes,5,1568,1568,1568,1568,0.00
ML-KEM-1024,size-key-bits,5,1024,1024,1024,1024,0.00
ML-KEM-1024,size-privkey-bytes,5,3168,3168,3168,3168,0.00
ML-KEM-1024,size-pubkey-bytes,5,1568,1568,1568,1568,0.00
ML-KEM-1024,size-shared-secret-bytes,5,32,32,32,32,0.00
ML-KEM-512,decap-cyc-mean,5,46482.3,46504.46,46458,46562.5,0.09
ML-KEM-512,decap-cyc-median,5,46382,46374.4,46312,46414,0.09
ML-KEM-512,decap-iters,5,1000,1000,1000,1000,0.00
ML-KEM-512,decap-persec,5,57883.8,57893.18,57840.2,57971,0.09
ML-KEM-512,decap-wall-ci95hi-ns,5,17335.9,17341.58,17318,17378,0.14
ML-KEM-512,decap-wall-ci95lo-ns,5,17300,17302.04,17290.5,17319.7,0.07
ML-KEM-512,decap-wall-mean-ns,5,17313.2,17321.78,17304.5,17343.4,0.09
ML-KEM-512,decap-wall-median-ns,5,17276,17273.2,17250,17289,0.09
ML-KEM-512,decap-wall-p95-ns,5,17547,17554.4,17539,17579,0.09
ML-KEM-512,decap-wall-p99-ns,5,18631,18588.8,18381,18809,0.96
ML-KEM-512,decap-wall-std-ns,5,241.9,318.64,212,557.1,46.22
ML-KEM-512,encap-cyc-mean,5,30143.1,30141.42,30126.5,30165.1,0.05
ML-KEM-512,encap-cyc-median,5,30038,30038.4,30006,30058,0.07
ML-KEM-512,encap-iters,5,1000,1000,1000,1000,0.00
ML-KEM-512,encap-persec,5,89301.7,89306.5,89245.9,89405.5,0.07
ML-KEM-512,encap-wall-ci95hi-ns,5,11250.3,11250.54,11245.1,11257.8,0.05
ML-KEM-512,encap-wall-ci95lo-ns,5,11220.4,11221.3,11214.6,11230.7,0.05
ML-KEM-512,encap-wall-mean-ns,5,11235.4,11235.94,11229.9,11244.3,0.05
ML-KEM-512,encap-wall-median-ns,5,11198,11197.4,11185,11205,0.07
ML-KEM-512,encap-wall-p95-ns,5,11437,11446.2,11396,11553,0.55
ML-KEM-512,encap-wall-p99-ns,5,12510,12502.8,12379,12654,0.86
ML-KEM-512,encap-wall-std-ns,5,240.8,235.72,218.6,245.8,4.71
ML-KEM-512,keygen-cyc-mean,5,52652.4,54495.54,47479.3,68713.7,15.15
ML-KEM-512,keygen-cyc-median,5,47216,55001.2,47008,86442,31.96
ML-KEM-512,keygen-iters,5,1000,1000,1000,1000,0.00
ML-KEM-512,keygen-persec,5,56860.2,51762,30998.1,57113.5,22.43
ML-KEM-512,keygen-wall-ci95hi-ns,5,19966.3,20660.48,17715.5,26294.5,15.94
ML-KEM-512,keygen-wall-ci95lo-ns,5,19271.1,19955.54,17655.4,24952,14.45
ML-KEM-512,keygen-wall-mean-ns,5,19618.7,20308.02,17685.4,25623.3,15.20
ML-KEM-512,keygen-wall-median-ns,5,17587,20498.8,17509,32260,32.07
ML-KEM-512,keygen-wall-p95-ns,5,32770,29962,18471,33206,21.45
ML-KEM-512,keygen-wall-p99-ns,5,33548,31452.2,19468,36800,21.76
ML-KEM-512,keygen-wall-std-ns,5,5608.1,5686.54,485.1,10829.6,64.37
ML-KEM-512,size-ciphertext-bytes,5,768,768,768,768,0.00
ML-KEM-512,size-key-bits,5,512,512,512,512,0.00
ML-KEM-512,size-privkey-bytes,5,1632,1632,1632,1632,0.00
ML-KEM-512,size-pubkey-bytes,5,800,800,800,800,0.00
ML-KEM-512,size-shared-secret-bytes,5,32,32,32,32,0.00
ML-KEM-768,decap-cyc-mean,5,61684.3,61716.38,61625.9,61824.5,0.15
ML-KEM-768,decap-cyc-median,5,61520,61527.6,61500,61556,0.04
ML-KEM-768,decap-iters,5,1000,1000,1000,1000,0.00
ML-KEM-768,decap-persec,5,43649.1,43644.12,43628.1,43656.7,0.03
ML-KEM-768,decap-wall-ci95hi-ns,5,22995.6,23011.64,22961.9,23064.7,0.19
ML-KEM-768,decap-wall-ci95lo-ns,5,22944.5,22953.76,22931.5,22983.1,0.11
ML-KEM-768,decap-wall-mean-ns,5,22970,22982.68,22947.1,23021,0.15
ML-KEM-768,decap-wall-median-ns,5,22910,22912.6,22906,22921,0.03
ML-KEM-768,decap-wall-p95-ns,5,23177,23487.8,23145,24014,1.91
ML-KEM-768,decap-wall-p99-ns,5,24465,24420,24094,24706,1.18
ML-KEM-768,decap-wall-std-ns,5,463,466.76,238.2,704,36.16
ML-KEM-768,encap-cyc-mean,5,39349.3,39369.28,39219.3,39542.9,0.30
ML-KEM-768,encap-cyc-median,5,39218,39216.8,39126,39288,0.16
ML-KEM-768,encap-iters,5,1000,1000,1000,1000,0.00
ML-KEM-768,encap-persec,5,68446.3,68442.68,68320,68605.9,0.16
ML-KEM-768,encap-wall-ci95hi-ns,5,14686.4,14694.44,14634.8,14758.5,0.34
ML-KEM-768,encap-wall-ci95lo-ns,5,14634.3,14640.82,14589,14708.5,0.29
ML-KEM-768,encap-wall-mean-ns,5,14659.5,14667.64,14611.9,14733.5,0.31
ML-KEM-768,encap-wall-median-ns,5,14610,14610.8,14576,14637,0.16
ML-KEM-768,encap-wall-p95-ns,5,14796,14918.6,14750,15364,1.71
