algo,op,iter,wall_ns,cycles
rsa-7680,pss-sign,38,27995507,75251854
rsa-7680,pss-sign,39,28020201,75318234
rsa-7680,pss-sign,40,27895949,74984244
rsa-7680,pss-sign,41,27850119,74861058
rsa-7680,pss-sign,42,27961169,75159554
rsa-7680,pss-sign,43,27991785,75241858
rsa-7680,pss-sign,44,28034919,75357800
rsa-7680,pss-sign,45,27979800,75209644
rsa-7680,pss-sign,46,27919337,75047112
rsa-7680,pss-sign,47,27951362,75133198
rsa-7680,pss-sign,48,28010677,75292596
rsa-7680,pss-sign,49,28071813,75456964
rsa-7680,pss-sign,50,28143908,75650728
rsa-7680,pss-sign,51,28135084,75627044
rsa-7680,pss-sign,52,28115328,75573928
rsa-7680,pss-sign,53,28080624,75480654
rsa-7680,pss-sign,54,30103107,80917076
rsa-7680,pss-sign,55,28138775,75636954
rsa-7680,pss-sign,56,28078713,75475516
rsa-7680,pss-sign,57,27968056,75178064
rsa-7680,pss-sign,58,28106253,75549538
rsa-7680,pss-sign,59,28040513,75372836
rsa-7680,pss-sign,60,27963804,75166638
rsa-7680,pss-sign,61,28087922,75500268
rsa-7680,pss-sign,62,28042756,75378862
rsa-7680,pss-sign,63,27959719,75155664
rsa-7680,pss-sign,64,28010233,75291436
rsa-7680,pss-sign,65,27941225,75105950
rsa-7680,pss-sign,66,27994215,75248384
rsa-7680,pss-sign,67,28018636,75314022
rsa-7680,pss-sign,68,27877596,74934912
rsa-7680,pss-sign,69,27955184,75143474
rsa-7680,pss-sign,70,28069503,75450758
rsa-7680,pss-sign,71,27975079,75196944
rsa-7680,pss-sign,72,28131353,75616970
rsa-7680,pss-sign,73,28106396,75549932
rsa-7680,pss-sign,74,28067143,75444418
rsa-7680,pss-sign,75,27982069,75215740
rsa-7680,pss-sign,76,27993170,75245582
rsa-7680,pss-sign,77,27873544,74924024
rsa-7680,pss-sign,78,27933061,75084002
rsa-7680,pss-sign,79,27907991,75016616
rsa-7680,pss-sign,80,27908139,75017016
rsa-7680,pss-sign,81,28020482,75318992
rsa-7680,pss-sign,82,27898974,74992380
rsa-7680,pss-sign,83,27920338,75049804
rsa-7680,pss-sign,84,27779858,74672198
rsa-7680,pss-sign,85,27997338,75256776
rsa-7680,pss-sign,86,30052239,80780352
rsa-7680,pss-sign,87,27959797,75155872
rsa-7680,pss-sign,88,27992732,75244394
rsa-7680,pss-sign,89,27890050,74968390
rsa-7680,pss-sign,90,27916450,75039350
rsa-7680,pss-sign,91,27819371,74778410
rsa-7680,pss-sign,92,27985348,75224546
rsa-7680,pss-sign,93,27837480,74827076
rsa-7680,pss-sign,94,27968827,75180142
rsa-7680,pss-sign,95,28095516,75520674
rsa-7680,pss-sign,96,27815955,74769216
rsa-7680,pss-sign,97,28029658,75343654
rsa-7680,pss-sign,98,27907946,75016494
rsa-7680,pss-sign,99,27870520,74915884
rsa-7680,pss-verify,0,170664,458664
