Iter,Param,Category,Keygen_Cyc,Keygen_ns,Sign_Cyc,Sign_ns,Verify_Cyc,Verify_ns
13,65,3,425732,158583,555830,206926,348484,129749
14,65,3,425878,158648,1288578,479519,398352,148356
15,65,3,478984,178391,883428,328823,380454,141673
16,65,3,633192,235808,1558420,580131,348200,129686
17,65,3,421776,157077,754534,280838,366212,136340
18,65,3,508828,189661,573824,213648,358278,133397
19,65,3,451258,168093,774578,288297,358724,133559
20,65,3,426362,158806,3899484,1451009,430332,160231
21,65,3,574800,214276,3949968,1470389,587064,218677
22,65,3,446182,166185,1784838,664613,356594,132765
23,65,3,429360,159913,2056026,765061,348310,129685
24,65,3,426846,158986,1298450,483255,348506,129753
25,65,3,440124,163931,946088,352089,407330,151649
26,65,3,458876,170882,550942,205091,347220,129307
27,65,3,420808,156744,713620,265595,370690,138033
28,65,3,431380,160661,3034822,1129181,363476,135343
29,65,3,429648,160019,797888,296973,359900,134024
30,65,3,460418,171534,2405032,894862,363538,135374
31,65,3,430962,160699,1187410,441877,356988,132910
32,65,3,423278,157631,1113392,414361,355490,132351
33,65,3,456042,169866,1351222,502821,347074,129224
34,65,3,490480,182657,747494,278199,385498,143555
35,65,3,414780,154472,1495912,556657,371448,138313
36,65,3,418762,155964,1490348,554699,351660,130943
37,65,3,435214,162075,1501220,558669,395036,147079
38,65,3,430468,160312,953592,354894,350800,130607
39,65,3,426160,158726,885612,329601,394394,146863
40,65,3,428878,159744,955466,355808,397274,147979
41,65,3,424280,158019,1965348,731307,350730,130612
42,65,3,427790,159341,750042,279145,346606,129053
43,65,3,423074,157581,2331866,867662,366112,136326
44,65,3,519232,193363,1337350,497658,354916,132261
45,65,3,752718,280257,3611944,1344037,358970,133737
46,65,3,514746,191723,1929210,717877,358654,133536
47,65,3,473268,176352,1733982,645296,405686,151052
48,65,3,437738,163030,985758,366869,416822,155179
49,65,3,478510,178191,2353598,875959,352812,131354
50,65,3,434972,161982,1283626,477682,352050,131079
51,65,3,435956,162363,657338,244689,371328,138261
52,65,3,7636890,2842535,3442692,1281086,420740,156683
53,65,3,478190,178115,778586,289769,389106,144887
54,65,3,491678,183238,3164456,1177416,356698,132808
55,65,3,443052,165039,2602366,968619,488530,181873
56,65,3,438196,163213,1222810,455151,356020,132552
57,65,3,444884,165698,4744188,1765351,355386,132331
58,65,3,442066,164631,744040,276966,367958,137017
59,65,3,498944,185790,1879512,699460,512486,191057
60,65,3,503184,187406,1305602,485870,384288,143110
61,65,3,499938,186435,5505014,2049712,729372,271718
62,65,3,446178,166175,2686764,999713,377684,140716
63,65,3,418408,155911,550770,205009,350998,130685
64,65,3,421230,156875,991358,368951,370312,137886
65,65,3,423340,157688,1527966,568672,346624,129055
66,65,3,433978,161701,735404,273756,348778,129857
67,65,3,472624,176071,764072,284558,371834,138538
68,65,3,437924,163104,761210,283320,418806,155946
69,65,3,456056,169858,2549302,948639,411496,153226
70,65,3,486976,181474,1126554,419232,353730,131700
71,65,3,465748,173482,581466,216432,365238,135986
72,65,3,509626,189806,779894,290459,436506,162527
73,65,3,471020,175457,612924,228304,498052,185432
74,65,3,495650,184606,1266820,471430,361396,134571
75,65,3,438308,163405,1646644,613097,382820,142577
76,65,3,451608,168224,564940,210282,475252,176950
77,65,3,467228,174041,549108,204391,354670,132127
78,65,3,437044,162792,2259508,840782,379304,141297
79,65,3,520074,193840,1691424,629465,424116,157943
80,65,3,631536,235341,1213818,451955,395194,147243
81,65,3,438352,163263,990418,368592,379946,141543
82,65,3,431364,160672,941474,350364,383234,142702
83,65,3,481846,179550,4463358,1660820,644772,240286
84,65,3,436046,162402,1766622,657703,538608,200628
85,65,3,540714,201382,566048,210740,376192,140074
86,65,3,873794,325417,3150114,1172935,356428,132908
87,65,3,437394,163003,928352,345531,360324,134155
88,65,3,440656,164119,1147632,427203,587474,218737
89,65,3,439304,163705,585682,218018,368740,137385
90,65,3,495654,184702,599418,223208,372238,138608
91,65,3,749636,279124,907202,337717,412678,153698
92,65,3,893736,332979,1503480,559874,385858,143712
93,65,3,812050,302426,2145642,799047,480714,179068
94,65,3,448230,166934,1417200,527515,755372,281250
95,65,3,775000,288712,4508276,1677823,570912,212632
96,65,3,551006,205593,2585894,962275,565688,210914
97,65,3,1988782,740273,997784,371397,529060,197176
98,65,3,772954,287902,4878874,1817152,471478,175707
99,65,3,623358,232155,811990,302340,498882,185940
100,65,3,718402,267681,1679982,625410,408442,152357
1,87,5,974556,363040,2278756,848134,786888,293323
2,87,5,749812,279225,1199086,446299,866786,322597
3,87,5,835926,311421,1536234,571865,622366,231679
4,87,5,779836,290490,935254,348271,619892,230757
5,87,5,698156,259963,974972,362881,624540,232485
6,87,5,1130002,421467,2822836,1050387,669158,249121
7,87,5,647120,240934,3121838,1161744,655274,244150
8,87,5,739942,275473,2206230,821312,628184,233861
9,87,5,655274,243962,1414324,526309,622628,232005
10,87,5,849062,316307,2786164,1036813,642902,239303
11,87,5,849872,316504,3976212,1479416,611934,227781
12,87,5,709846,264393,1205752,448782,628620,234002
13,87,5,739292,275249,1344150,500203,736476,274120
14,87,5,770906,287108,1279358,476205,3178756,1183771
15,87,5,1097046,408556,1523014,566897,1024884,381444
16,87,5,733394,273178,1859796,692303,805234,299707
17,87,5,962774,358533,2207886,821829,970194,361361
18,87,5,686184,255492,2290324,852686,687770,256014
19,87,5,671602,250042,1471346,547822,735226,273764
20,87,5,691630,257658,1908968,710365,692536,257814
21,87,5,837416,311935,1971508,733628,716372,266692
22,87,5,893798,332717,917980,341695,641460,238785
23,87,5,661634,246329,2489384,926255,616878,229636
24,87,5,876490,326464,1207076,449359,612734,228063
25,87,5,640950,238657,994484,370314,598172,222759
26,87,5,675580,251651,1332534,496260,750826,279741
27,87,5,661790,246398,7123802,2650503,614576,228765
28,87,5,664456,247422,1736388,646256,599950,223329
29,87,5,817062,304399,1445014,537721,599212,223044
30,87,5,664724,247498,1148266,427342,600820,223622
31,87,5,651536,242571,1631424,607511,630084,234640
32,87,5,697904,259844,2425376,902517,590856,219940
33,87,5,657536,244801,864802,321855,606560,225861
34,87,5,739994,275524,6131240,2281539,992260,369296
35,87,5,720224,268150,1385744,515699,597492,222618
36,87,5,705300,262578,885360,329515,583780,217502
37,87,5,676568,251896,3125962,1163215,623026,232041
38,87,5,681198,253623,1148534,427488,625478,232828
39,87,5,734440,273560,1909624,710603,681646,253802
40,87,5,894338,332997,958348,356688,671672,249994
41,87,5,660616,246068,1237730,460966,686800,255692
42,87,5,990152,368614,935154,348193,751166,279735
43,87,5,705856,263004,2009300,747698,594812,221408
44,87,5,757934,282249,996454,370968,612528,227987
45,87,5,703302,261872,1124894,418669,635092,236424
46,87,5,680840,253475,1010960,376274,822462,306290
47,87,5,1053850,392671,2641594,983203,740022,275517
48,87,5,684846,255071,1774098,660179,611910,227956
49,87,5,672086,250300,4844542,1803651,1056274,393214
50,87,5,983848,366539,2998682,1116703,968668,360709
51,87,5,651578,242666,1674668,623153,601766,223987
52,87,5,700380,260913,1292740,481549,612560,228060
53,87,5,839352,312813,2651212,986878,842330,314017
54,87,5,811474,302201,986964,367326,703158,261734
55,87,5,656918,244563,1589042,591368,849162,316517
56,87,5,777774,289730,1461520,544025,857172,319205
57,87,5,924738,344525,1345612,500742,884210,329290
58,87,5,682574,254188,2253080,838598,645372,240247
59,87,5,639290,237999,866392,322638,605586,225443
60,87,5,730214,272007,1197912,445901,785856,292745
61,87,5,1243314,463190,1316756,490436,888968,331009
62,87,5,1022146,380709,2629070,978996,913752,340823
