Iter,Param,Category,Keygen_Cyc,Keygen_ns,Encaps_Cyc,Encaps_ns,Decaps_Cyc,Decaps_ns
15,768,3,158980,59301,167846,62543,206986,77103
16,768,3,156610,58486,172530,64286,191590,71370
17,768,3,157564,58767,166172,61921,191108,71192
18,768,3,154464,57620,157852,58823,192562,71739
19,768,3,156634,58428,163210,60816,191346,71290
20,768,3,158640,59177,165892,61816,195298,72751
21,768,3,157936,58960,167610,62487,219878,82171
22,768,3,157984,58940,165486,61676,191960,71528
23,768,3,160972,60050,182488,67996,192640,71764
24,768,3,160926,60021,163724,61008,198050,73785
25,768,3,154402,57639,164822,61419,188560,70242
26,768,3,158764,59217,162568,60575,197182,73455
27,768,3,154452,57619,169404,63124,198084,73788
28,768,3,151638,56589,162318,60487,217128,80881
29,768,3,154312,57554,165850,61816,193206,71989
30,768,3,160700,59940,168718,62868,193954,72252
31,768,3,155014,57831,164786,61401,197272,73490
32,768,3,159040,59321,197298,73525,197186,73452
33,768,3,153954,57428,168052,62618,194544,72470
34,768,3,153406,57226,163662,60987,187964,70023
35,768,3,153572,57283,166634,62092,188222,70119
36,768,3,154520,57650,165810,61784,193282,71999
37,768,3,177156,66095,163656,60997,190316,70898
38,768,3,154754,57725,163414,60895,190846,71094
39,768,3,155294,57940,163558,60949,192290,71632
40,768,3,154502,57637,166660,62103,194406,72418
41,768,3,151416,56488,166038,61868,218864,81548
42,768,3,154460,57615,161730,60265,191856,71476
43,768,3,155578,58027,167306,62339,194556,72475
44,768,3,155528,58020,165138,61535,193002,71897
45,768,3,157314,58684,166574,62071,191282,71261
46,768,3,317960,118519,174814,65139,190760,71062
47,768,3,155776,58107,166854,62175,193056,71917
48,768,3,200734,74860,165360,61615,197606,73615
49,768,3,153320,57226,169008,62978,194720,72537
50,768,3,199710,74457,166978,62220,190820,71084
51,768,3,157910,58897,166328,61981,188544,70237
52,768,3,159316,59455,166512,62043,195570,72859
53,768,3,160624,59920,163082,60767,199002,74154
54,768,3,157150,58619,165080,61534,196342,73158
55,768,3,156244,58282,187278,69797,198646,74033
56,768,3,171746,64095,167162,62290,223186,83160
57,768,3,161534,60254,169716,63242,202008,75253
58,768,3,158246,59030,178246,66414,195524,72836
59,768,3,158998,59312,170586,63564,196614,73247
60,768,3,159148,59364,166742,62135,193730,72170
61,768,3,158688,59193,201276,75013,197658,73628
62,768,3,153792,57373,159780,59540,191678,71410
63,768,3,150100,55992,164346,61242,189804,70707
64,768,3,154840,57753,166974,62221,189776,70697
65,768,3,158102,58967,162876,60692,194850,72589
66,768,3,264480,98686,257742,96059,313464,116776
67,768,3,165394,61690,164390,61256,194364,72409
68,768,3,158606,59158,163714,61001,199154,74190
69,768,3,153122,57137,163118,60784,189998,70780
70,768,3,175926,65619,188770,70332,204102,76031
71,768,3,154250,57533,205136,76421,192970,71883
72,768,3,153988,57444,167496,62411,197512,73577
73,768,3,154250,57540,166622,62085,191760,71433
74,768,3,154644,57683,164124,61155,195794,72939
75,768,3,158384,59076,173330,64602,268724,100119
76,768,3,153610,57304,162436,60531,189480,70585
77,768,3,153214,57155,164744,61390,190304,70892
78,768,3,152980,57068,165196,61559,195588,72865
79,768,3,151864,56649,165882,61811,191730,71423
80,768,3,155112,57863,166582,62072,191216,71236
81,768,3,157602,58792,163798,61037,191810,71453
82,768,3,155484,57999,196554,73264,199630,74361
83,768,3,156542,58389,161034,60005,193680,72155
84,768,3,154400,57594,164554,61318,191154,71208
85,768,3,154786,57749,168762,62884,194524,72463
86,768,3,156610,58420,168766,62887,196936,73361
87,768,3,183618,68537,166380,61999,193402,72045
88,768,3,155448,57989,158316,58993,192396,71679
89,768,3,157534,58791,166834,62167,192954,71878
90,768,3,158118,58990,163820,61044,202320,75371
91,768,3,151884,56666,171602,63946,191552,71372
92,768,3,154948,57795,163766,61022,188414,70190
93,768,3,154124,57491,163780,61031,206520,76935
94,768,3,159026,59347,160326,59746,188110,70075
95,768,3,154654,57691,160600,59846,200152,74566
96,768,3,221866,82715,165296,61877,193108,71936
97,768,3,157626,58817,166324,61979,192606,71750
98,768,3,158314,59063,165604,61712,191226,71237
99,768,3,158250,59081,162764,60656,191580,71367
100,768,3,152294,56822,163382,60883,191312,71267
1,1024,5,210734,78558,218274,81303,279600,104145
2,1024,5,221422,82534,224476,83618,255206,95041
3,1024,5,217542,81098,218978,81567,243158,90560
4,1024,5,218122,81304,223164,83125,249486,92912
5,1024,5,229722,85626,247530,92229,265702,98978
6,1024,5,222966,83193,222558,82898,246622,91848
7,1024,5,219342,81757,218688,81458,267824,99784
8,1024,5,220460,82176,218832,81509,250638,93345
9,1024,5,216724,80777,225188,83954,270160,100694
10,1024,5,220334,82148,216942,80813,245582,91459
11,1024,5,221726,82643,221736,82591,244648,91111
12,1024,5,267590,99718,439578,163789,251584,93727
13,1024,5,225694,84257,217516,81018,252110,93914
14,1024,5,214622,80007,434182,161654,254302,94709
15,1024,5,213636,79634,244968,91244,263994,98328
16,1024,5,214770,80055,217784,81122,243418,90659
17,1024,5,209590,78133,228380,85071,250076,93133
18,1024,5,219460,81807,216528,80667,249190,92805
19,1024,5,212146,79081,214372,79852,241960,90117
20,1024,5,222490,82936,222006,82692,247326,92114
21,1024,5,231554,86329,227682,84816,253546,94426
22,1024,5,218492,81442,228332,85046,246102,91654
23,1024,5,218746,81540,224420,83590,242290,90235
24,1024,5,225570,84080,226104,84217,247640,92225
25,1024,5,236470,88170,212562,79193,237384,88410
26,1024,5,216224,80594,219244,81664,247174,92052
27,1024,5,221160,82442,251942,93853,251436,93636
28,1024,5,218218,81343,221244,82405,245188,91313
29,1024,5,222524,82946,231924,86414,252204,93921
30,1024,5,216122,80560,215274,80192,238810,88940
31,1024,5,301734,112504,309060,115122,406992,151542
32,1024,5,220232,82092,216246,80549,248830,92673
33,1024,5,225446,84036,226886,84509,299044,111379
34,1024,5,222398,82971,220954,82304,249730,93003
35,1024,5,223558,83349,212324,79090,244598,91098
36,1024,5,224670,83737,224664,83679,254696,94850
37,1024,5,212548,79231,223360,83220,270632,100808
38,1024,5,222004,82755,218184,81271,246648,91856
39,1024,5,223366,83254,221060,82342,259192,96529
40,1024,5,224530,83696,221748,82594,246696,91875
41,1024,5,214566,79994,211848,78909,245876,91573
42,1024,5,218342,81388,218174,81266,242042,90143
43,1024,5,213512,79581,215900,80442,249812,93039
44,1024,5,221854,82687,224574,83646,246428,91789
45,1024,5,224978,83852,221344,82445,246918,91956
46,1024,5,240712,89724,222958,83048,242614,90355
47,1024,5,217038,80902,215182,80153,238932,88984
48,1024,5,245936,91692,223252,83188,250772,93395
49,1024,5,210954,78643,219514,81768,239866,89332
50,1024,5,216098,80550,216772,80777,242104,90165
51,1024,5,218470,81435,214898,80049,240140,89435
52,1024,5,220614,82239,222716,82981,254238,94686
53,1024,5,217748,81224,211794,78904,244522,91074
54,1024,5,220172,82067,223646,83301,253054,94242
55,1024,5,221130,82428,230054,85689,254628,94831
56,1024,5,257942,96144,230920,86034,274840,102381
57,1024,5,218482,81448,221850,82634,277662,103447
58,1024,5,223850,83454,227518,84744,244576,91091
59,1024,5,221192,82446,223720,83330,251320,93596
60,1024,5,222462,82915,254352,94765,253668,94470
61,1024,5,211578,78866,212006,78972,285416,106308
62,1024,5,225068,83883,218586,81417,272938,101665
63,1024,5,231512,86291,229050,85316,251620,93710
64,1024,5,223094,83172,227136,84625,253880,94549
65,1024,5,216538,80735,219548,81801,251520,93673
66,1024,5,257110,95842,225208,83889,248246,92481
67,1024,5,221796,82678,223708,83326,251202,93560
68,1024,5,218728,81525,220526,82141,256030,95350
69,1024,5,381220,142021,221238,82410,249040,92779
70,1024,5,219552,81842,368736,137412,418494,156034
71,1024,5,222764,83036,222774,82979,246318,91734
72,1024,5,219612,81878,222776,82979,247470,92163
73,1024,5,221962,82731,224028,83468,321982,119915
74,1024,5,216688,80796,215320,80204,252164,93937
75,1024,5,220394,82164,225208,83904,276614,103034
76,1024,5,229262,85471,233056,86822,504040,187670
77,1024,5,246456,91928,221774,82608,250554,93310
78,1024,5,289310,107889,616704,229710,425270,158343
79,1024,5,298954,111542,229990,85665,251654,93724
80,1024,5,218972,81620,267460,99638,249940,93112
81,1024,5,217192,80984,223390,83209,254658,94844
82,1024,5,225818,84170,229436,85454,296746,110550
83,1024,5,220362,82142,224360,83567,425900,158586
84,1024,5,216728,80786,216198,80532,256880,95686
85,1024,5,333178,124160,352406,131245,407910,151890
86,1024,5,220496,82213,219372,81761,254588,94828
87,1024,5,218328,81403,234500,87357,316952,118028
88,1024,5,230298,85941,229524,85489,256720,95669
89,1024,5,220602,82247,225890,84140,250268,93210
90,1024,5,292868,109316,253910,94585,303482,113032
91,1024,5,215454,80323,209354,77983,241204,89838
92,1024,5,230350,85851,227532,84750,255902,95301
93,1024,5,218372,81415,216996,80827,272848,101627
94,1024,5,218672,81559,215154,80138,258696,96361
95,1024,5,305452,113851,221552,82537,252820,94186
96,1024,5,226794,84559,230868,85994,262302,97684
97,1024,5,216182,80583,218260,81302,249630,92974
98,1024,5,222290,82849,239516,89246,245094,91280
99,1024,5,228028,84991,215716,80349,262280,97681
100,1024,5,221430,82578,221780,82628,241054,89774
